station_complex_id,station_complex,borough,ridership,transfers,lat,lon,daily_avg,transfer_ratio
608,"4 Av-9 St (F,G,R)",Brooklyn,183616.0,8693.0,40.67056,-73.989044,9664.0,0.047
17,"Prince St (R,W)",Manhattan,183509.0,349.0,40.72433,-73.9977,9658.368421052632,0.002
237,"Carroll St (F,G)",Brooklyn,182779.0,1835.0,40.6803,-73.99505,9619.947368421053,0.01
175,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,181325.0,2326.0,40.688484,-73.985,9543.421052631578,0.013
308,Cathedral Pkwy (110 St) (1),Manhattan,180741.0,3310.0,40.803967,-73.96685,9512.684210526315,0.018
263,"63 Dr-Rego Park (M,R)",Queens,179780.0,9619.0,40.729847,-73.8616,9462.105263157895,0.054
266,"Elmhurst Av (M,R)",Queens,179682.0,1451.0,40.742455,-73.88202,9456.947368421053,0.008
97,"Myrtle Av (M,J,Z)",Brooklyn,179609.0,6476.0,40.69721,-73.93565,9453.105263157895,0.036
127,DeKalb Av (L),Brooklyn,178684.0,7458.0,40.70381,-73.91843,9404.421052631578,0.042
236,"Bergen St (F,G)",Brooklyn,178582.0,1505.0,40.686146,-73.99086,9399.052631578947,0.008
35,"59 St (N,R)",Brooklyn,177821.0,3923.0,40.64136,-74.01788,9359.0,0.022
3,"30 Av (N,W)",Queens,176277.0,8340.0,40.76678,-73.92148,9277.736842105263,0.047
240,"7 Av (F,G)",Brooklyn,175237.0,4496.0,40.66627,-73.98031,9223.0,0.026
101,"Marcy Av (M,J,Z)",Brooklyn,174749.0,6381.0,40.70836,-73.957756,9197.315789473685,0.037
13,"28 St (R,W)",Manhattan,174567.0,574.0,40.745495,-73.98869,9187.736842105263,0.003
393,116 St (6),Manhattan,172517.0,9427.0,40.79863,-73.94162,9079.842105263158,0.055
138,Canarsie-Rockaway Pkwy (L),Brooklyn,172164.0,40282.0,40.646652,-73.90185,9061.263157894737,0.234
309,103 St (1),Manhattan,166984.0,1807.0,40.799446,-73.968376,8788.631578947368,0.011
158,"86 St (C,B)",Manhattan,165717.0,14240.0,40.78587,-73.96892,8721.947368421053,0.086
395,103 St (6),Manhattan,164844.0,1670.0,40.7906,-73.94748,8676.0,0.01
4,"Broadway (N,W)",Queens,162998.0,2776.0,40.76182,-73.92551,8578.842105263158,0.017
160,"72 St (C,B)",Manhattan,161981.0,4520.0,40.775593,-73.97641,8525.315789473685,0.028
271,"Steinway St (M,R)",Queens,161898.0,8286.0,40.756878,-73.92074,8520.947368421053,0.051
305,137 St-City College (1),Manhattan,157538.0,1255.0,40.822006,-73.953674,8291.473684210527,0.008
54,"Sheepshead Bay (B,Q)",Brooklyn,156790.0,19009.0,40.586895,-73.954155,8252.105263157895,0.121
366,Parkchester (6),Bronx,156673.0,14901.0,40.833225,-73.86082,8245.947368421053,0.095
42,"Prospect Park (B,Q,S)",Brooklyn,154977.0,4585.0,40.661613,-73.96225,8156.684210526316,0.03
224,57 St (M),Manhattan,154532.0,3001.0,40.763973,-73.97745,8133.263157894737,0.019
38,86 St (R),Brooklyn,154480.0,50014.0,40.62269,-74.0284,8130.526315789473,0.324
283,Greenpoint Av (G),Brooklyn,152445.0,2184.0,40.731354,-73.95445,8023.421052631579,0.014
2,"Astoria Blvd (N,W)",Queens,151261.0,10356.0,40.77026,-73.91785,7961.105263157895,0.068
71,8 Av (N),Brooklyn,150065.0,6780.0,40.635063,-74.01172,7898.1578947368425,0.045
173,"High St (A,C)",Brooklyn,148650.0,1476.0,40.699337,-73.99053,7823.684210526316,0.01
55,"Brighton Beach (B,Q)",Brooklyn,147252.0,6745.0,40.57762,-73.96137,7750.105263157895,0.046
438,"135 St (2,3)",Manhattan,144413.0,2083.0,40.814228,-73.94077,7600.684210526316,0.014
284,Nassau Av (G),Brooklyn,143135.0,2505.0,40.724636,-73.95128,7533.421052631579,0.018
41,"7 Av (B,Q)",Brooklyn,141644.0,4681.0,40.67705,-73.97237,7454.9473684210525,0.033
221,21 St-Queensbridge (M),Queens,141024.0,27616.0,40.754204,-73.94283,7422.315789473684,0.196
122,Graham Av (L),Brooklyn,140721.0,4816.0,40.714565,-73.94405,7406.368421052632,0.034
126,Jefferson St (L),Brooklyn,139851.0,2646.0,40.706608,-73.92291,7360.578947368421,0.019
459,40 St-Lowery St (7),Queens,139659.0,1344.0,40.743782,-73.92402,7350.473684210527,0.01
147,175 St (A),Manhattan,137786.0,2982.0,40.84739,-73.939705,7251.894736842105,0.022
603,"149 St-Grand Concourse (2,4,5)",Bronx,137729.0,8378.0,40.818394,-73.92703,7248.894736842105,0.061
157,"96 St (C,B)",Manhattan,136392.0,20737.0,40.79164,-73.9647,7178.526315789473,0.152
146,181 St (A),Manhattan,135902.0,2256.0,40.851696,-73.937965,7152.736842105263,0.017
303,157 St (1),Manhattan,135627.0,6572.0,40.83404,-73.94489,7138.263157894737,0.048
47,"Newkirk Plaza (B,Q)",Brooklyn,133305.0,6545.0,40.635082,-73.96279,7016.0526315789475,0.049
301,181 St (1),Manhattan,131049.0,16460.0,40.849506,-73.93359,6897.315789473684,0.126
394,110 St (6),Manhattan,130763.0,1266.0,40.79502,-73.94425,6882.263157894737,0.01
337,"Nevins St (2,3,4,5)",Brooklyn,130596.0,5549.0,40.688248,-73.98049,6873.473684210527,0.042
289,Bedford-Nostrand Avs (G),Brooklyn,128874.0,7119.0,40.68963,-73.95352,6782.8421052631575,0.055
34,53 St (R),Brooklyn,128430.0,3675.0,40.64507,-74.01403,6759.473684210527,0.029
222,Roosevelt Island (M),Manhattan,126750.0,8868.0,40.759144,-73.95326,6671.0526315789475,0.07
460,33 St-Rawson St (7),Queens,126362.0,860.0,40.744587,-73.931,6650.631578947368,0.007
306,125 St (1),Manhattan,124602.0,2836.0,40.815582,-73.958374,6558.0,0.023
243,"Church Av (F,G)",Brooklyn,124569.0,7284.0,40.64404,-73.979675,6556.263157894737,0.058
371,Hunts Point Av (6),Bronx,123149.0,17106.0,40.82095,-73.89055,6481.526315789473,0.139
28,Union St (R),Brooklyn,122842.0,550.0,40.677315,-73.98311,6465.368421052632,0.004
143,Inwood-207 St (A),Manhattan,122414.0,13300.0,40.868073,-73.9199,6442.8421052631575,0.109
440,"116 St (2,3)",Manhattan,121948.0,8202.0,40.802097,-73.94962,6418.315789473684,0.067
125,Morgan Av (L),Brooklyn,119920.0,1407.0,40.706154,-73.93314,6311.578947368421,0.012
356,"Church Av (2,5)",Brooklyn,119743.0,7909.0,40.650845,-73.94958,6302.263157894737,0.066
448,Mets-Willets Point (7),Queens,118595.0,534.0,40.754623,-73.84563,6241.8421052631575,0.005
304,145 St (1),Manhattan,116910.0,4735.0,40.82655,-73.95036,6153.1578947368425,0.041
621,"Broadway Junction (A,C,J,Z,L)",Brooklyn,116852.0,14087.0,40.678898,-73.90436,6150.105263157895,0.121
33,45 St (R),Brooklyn,116494.0,833.0,40.648937,-74.01001,6131.263157894737,0.007
98,"Flushing Av (M,J)",Brooklyn,115034.0,5168.0,40.70026,-73.941124,6054.421052631579,0.045
501,St George (SIR),Staten Island,113325.0,35541.0,40.64375,-74.07365,5964.473684210527,0.314
270,"46 St (M,R)",Queens,111940.0,1236.0,40.756313,-73.91333,5891.578947368421,0.011
377,3 Av-138 St (6),Bronx,111270.0,4122.0,40.810474,-73.92614,5856.315789473684,0.037
