stop_id,stop_name,stop_lat,stop_lon,access_category,access_category_v2,pedestrian_access_score,pas_v2,detour_factor,reach_ratio_5,reach_ratio_10,area_5min_m2,area_10min_m2,intersection_density_km2,dead_end_ratio,circuity,avg_street_len_m,snap_dist_m,pop_5min_crowflies,pop_5min_network,pop_10min_network,access_gap_pct,transit_share,gtfs_routes,gtfs_trips,crashes_200m,crashes_per_1k_10min,pipeline,suppressed_demand,priority_score
107350,SNAPFINGER RD @ DR CRAWFORD LEWIS DR,33.7329,-84.248,No Infrastructure,No Infrastructure,0.0,0.0,1.3253,0.2337,0.2954,127445.392,644498.6457,164.7466,0.2,1.0405,61.0981,25.4372,757.8697,177.7653,935.5343,0.7654,0.0276,1,266,0,0.0,planned,0.0604,0.0
108002,GLENWOOD RD @ HOLLYHOCK TER,33.7376,-84.242,No Infrastructure,No Infrastructure,5.7,14.7,1.0456,0.2566,0.2964,139962.8869,646723.897,94.3915,0.0,1.0574,79.2859,9.1454,818.0655,212.819,1025.2819,0.7399,0.0276,1,267,4,3.9014,none,0.0014,0.006
108050,GLENWOOD RD @ HOLLYHOCK TER,33.7377,-84.2417,No Infrastructure,No Infrastructure,5.7,14.3,1.0706,0.2489,0.2991,135747.7105,652630.2738,99.0455,0.0,1.0785,84.0254,25.3161,825.9682,208.2784,1049.6943,0.7478,0.1611,1,261,4,3.8106,none,0.0186,0.0198
108112,SNAPFINGER RD @ CHESTNUT HILL CIR,33.7315,-84.2415,No Infrastructure,No Infrastructure,0.0,0.0,1.1352,0.2748,0.3192,149897.9232,696375.9998,81.7644,0.0714,1.0081,134.3727,4.5343,734.4434,207.0272,886.4035,0.7181,0.0276,1,266,0,0.0,planned,0.014,0.0
108118,SNAPFINGER RD @ CHESTNUT HILL CIR (W),33.7314,-84.2416,No Infrastructure,No Infrastructure,0.0,0.0,1.1352,0.2748,0.3192,149897.9232,696375.9998,81.7644,0.0714,1.0081,134.3727,14.3811,739.6349,207.0272,886.4035,0.7201,0.0276,1,267,0,0.0,planned,0.014,0.0
117002,GLENWOOD AVE SE @ BROWNWOOD AVE SE,33.7401,-84.3482,Good,Good,85.0,84.9,1.2786,0.5718,0.5219,311860.7304,1138551.3795,836.8066,0.0583,1.0815,30.6719,7.1772,885.916,497.5838,1883.9378,0.4383,0.0314,4,946,3,1.5924,none,0.036,0.1014
117004,MORELAND AVE SE @ BURNS ST SE,33.7265,-84.3495,Moderate,Moderate,67.6,63.3,1.1058,0.4729,0.3821,257913.5653,833563.2402,285.4131,0.0933,1.0377,49.7119,11.9111,875.5524,424.1826,1178.6986,0.5155,0.0255,1,273,0,0.0,none,0.0049,0.0293
117006,MORELAND AVE SE @ LYNDALE DR SE,33.7278,-84.3494,Moderate,Moderate,63.2,56.7,1.1033,0.4715,0.3867,257189.2504,843637.3728,108.8893,0.129,1.081,111.9638,26.8729,952.3573,461.9142,1290.1154,0.515,0.0255,1,273,0,0.0,none,0.0064,0.0383
117007,MORELAND AVE SE @ STONEYBROOK DR,33.7291,-84.3494,Moderate,Moderate,54.1,46.1,1.1477,0.3841,0.3574,209485.0555,779743.5224,124.2044,0.0714,1.1203,96.8364,6.4582,952.5166,366.4817,1326.3204,0.6152,0.0255,1,273,0,0.0,none,0.0179,0.1075
117008,MORELAND AVE SE @ EDEN AVE SE,33.7301,-84.3494,Moderate,Poor,46.1,34.9,1.1836,0.3422,0.3765,186664.5738,821360.8187,282.863,0.0652,1.129,48.0015,8.6892,953.1075,355.5044,1459.4403,0.627,0.0255,1,273,0,0.0,none,0.0345,0.2074
117010,MORELAND AVE SE @ DELAWARE AVE SE,33.7319,-84.3494,No Infrastructure,Poor,9.1,16.4,1.2337,0.4018,0.4617,219160.5727,1007214.6929,458.2729,0.1379,1.1629,41.1158,7.2716,957.3265,414.3987,1805.2568,0.5671,0.0255,1,273,0,0.0,none,0.0739,0.4446
117012,MORELAND AVE SE @ GRACEWOOD AVE SE,33.7329,-84.3494,Poor,Moderate,32.9,47.7,1.2932,0.4868,0.4957,265518.4749,1081456.5859,383.542,0.0729,1.1316,42.2972,7.316,962.2053,484.7624,1927.5329,0.4962,0.0255,1,273,0,0.0,none,0.0629,0.3781
117014,MORELAND AVE SE @ ORMEWOOD AVE SE,33.7342,-84.3494,Good,Good,85.0,80.3,1.2135,0.4312,0.4931,235191.09,1075775.0093,460.2654,0.0693,1.0473,41.5191,11.562,978.0606,427.4698,1937.6762,0.5629,0.0255,1,273,0,0.0,none,0.0167,0.1003
117016,MORELAND AVE SE @ HALL AVE SE,33.7351,-84.3494,Good,Good,85.0,80.4,1.2075,0.5396,0.4774,294288.2537,1041599.7101,394.2025,0.0762,1.0481,47.0161,11.1462,990.4529,530.1277,1866.0974,0.4648,0.0255,1,273,0,0.0,none,0.0155,0.0935
117018,MORELAND AVE SE @ BERNE ST SE,33.7361,-84.3494,Good,Good,85.0,84.1,1.1971,0.4727,0.5174,257833.4557,1128695.5262,361.4757,0.0388,1.0278,45.1932,9.4309,1002.7633,481.3261,2023.3494,0.52,0.0255,1,273,0,0.0,none,0.0123,0.0738
117022,MORELAND AVE SE @ PORTLAND AVE SE,33.7392,-84.3494,Good,Good,85.0,84.6,1.1844,0.5631,0.4919,307099.5255,1073118.7978,653.8038,0.057,1.0867,35.1369,12.6149,992.6797,554.6029,1861.3529,0.4413,0.0255,1,273,3,1.6117,none,0.0098,0.059
117042,GLENWOOD AVE SE @ BROWNWOOD AVE,33.7403,-84.3484,Good,Good,85.0,84.6,1.2859,0.5474,0.4841,298567.387,1056077.7814,952.4251,0.0522,1.088,30.4584,8.3059,896.4225,480.0732,1774.8149,0.4645,0.0314,4,928,3,1.6903,none,0.0358,0.1008
117098,MORELAND AVE SE @ BEECHVIEW DR SE,33.7261,-84.3493,Good,Moderate,74.0,65.2,1.102,0.483,0.3705,263462.475,808396.4108,275.1853,0.1014,1.0404,49.568,31.5138,846.1446,437.2748,1162.7472,0.4832,0.0314,1,274,0,0.0,none,0.0091,0.0257
117100,MORELAND AVE SE @ LYNDALE DR SE,33.7273,-84.3493,Moderate,Moderate,66.0,57.1,1.1054,0.4692,0.3915,255886.0112,854055.421,100.1668,0.1667,1.0424,96.884,29.5379,924.7182,460.0314,1305.2983,0.5025,0.0314,1,274,0,0.0,none,0.0144,0.0404
117102,MORELAND AVE SE @ DELAWARE AVE SE,33.7319,-84.3493,No Infrastructure,Poor,9.1,16.7,1.2337,0.4018,0.4617,219160.5727,1007214.6929,458.2729,0.1379,1.1629,41.1158,3.876,952.637,414.3987,1805.2568,0.565,0.0314,1,274,0,0.0,none,0.1575,0.443
